,ID,Database,SMILES_chiral,Counts,ROMol,SMILES,HBA,HBD,LOGP,TPSA,RB,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,QHM-0001215,CRAFT,CCOC(=O)CCCCCNC(=O)c1cc2ccnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf4c0>,CCOC(=O)CCCCCNC(=O)c1cc2ccnn2cn1,6,1,1.5826,85.58999999999999,8,2.491,15,3,4,0.6818181818181818,0.1363636363636363,0.1818181818181818,0.4666666666666667,0.0,304.1535405,22,2,0,2,2,0,2,0,0
1,QHM-0001214,CRAFT,O=C(Nc1cccc([N+](=O)[O-])c1)c1cc2ccnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf6f0>,O=C(Nc1cccc([N+](=O)[O-])c1)c1cc2ccnn2cn1,6,1,1.8897999999999997,102.43,3,2.442,13,3,5,0.6190476190476191,0.1428571428571428,0.238095238095238,0.0,0.0,283.070539148,21,3,0,3,2,0,3,0,0
2,QHM-0001213,CRAFT,ON=C(O)c1cc2ccnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf3e0>,O=C(NO)c1cc2ccnn2cn1,5,2,0.4230999999999998,83.01,1,3.438,7,2,4,0.5384615384615384,0.1538461538461538,0.3076923076923077,0.0,0.0,178.049075432,13,2,0,2,2,0,2,0,0
3,QHM-0001212,CRAFT,O=C(O)c1cc2ccnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf300>,O=C(O)c1cc2ccnn2cn1,4,1,0.4274999999999998,67.49,1,2.77,7,2,3,0.5833333333333334,0.1666666666666666,0.25,0.0,0.0,163.0381764,12,2,0,2,2,0,2,0,0
4,QHM-0001211,CRAFT,CCOC(=O)c1cc2ccnn2c(C(O)(CC)c2ccccc2)n1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf5a0>,CCOC(=O)c1cc2ccnn2c(C(O)(CC)c2ccccc2)n1,6,1,2.5519000000000007,76.72,5,3.228,18,3,3,0.75,0.125,0.125,0.2777777777777778,0.0555555555555555,325.1426414680001,24,3,0,3,2,0,3,0,0
5,QHM-0001210,CRAFT,CCOC(=O)c1cc2c(/C=C/C(N)=O)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf680>,CCOC(=O)c1cc2c(/C=C/C(N)=O)cnn2cn1,6,1,0.4045000000000002,99.58,4,2.831,12,3,4,0.631578947368421,0.1578947368421052,0.2105263157894736,0.1666666666666666,0.0,260.090940244,19,2,0,2,2,0,2,0,0
6,QHM-0001209,CRAFT,CCOC(=O)c1cc2c(C#Cc3cccc(Cl)c3)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf760>,CCOC(=O)c1cc2c(C#Cc3cccc(Cl)c3)cnn2cn1,5,0,2.959200000000001,56.49,2,2.732,17,2,3,0.7391304347826086,0.0869565217391304,0.1304347826086956,0.1176470588235294,0.0,325.0618043040001,23,3,0,3,2,0,3,0,0
7,QHM-0001208,CRAFT,CCOC(=O)c1cc2c(-c3ccccc3)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf7d0>,CCOC(=O)c1cc2c(-c3ccccc3)cnn2cn1,5,0,2.5730000000000004,56.49,3,2.265,15,2,3,0.75,0.1,0.15,0.1333333333333333,0.0,267.100776656,20,3,0,3,2,0,3,0,0
8,QHM-0001207,CRAFT,CCOC(=O)c1cc2c(I)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf840>,CCOC(=O)c1cc2c(I)cnn2cn1,5,0,1.5106,56.49,2,2.847,9,2,3,0.6,0.1333333333333333,0.2,0.2222222222222222,0.0,316.9661244960001,15,2,0,2,2,0,2,0,0
9,QHM-0001206,CRAFT,CCOC(=O)c1cc2c(F)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf8b0>,CCOC(=O)c1cc2c(F)cnn2cn1,5,0,1.0451,56.49,2,2.696,9,2,3,0.6,0.1333333333333333,0.2,0.2222222222222222,0.0,209.060054716,15,2,0,2,2,0,2,0,0
10,QHM-0001205,CRAFT,Nc1ccc2c(-c3ccccc3)[nH]nc2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf920>,Nc1ccc2c(-c3ccccc3)n[nH]c2c1,2,2,2.8121,54.7,1,2.054,13,0,3,0.8125,0.0,0.1875,0.0,0.0,209.095297352,16,3,0,3,1,0,3,0,0
11,QHM-0001204,CRAFT,Cc1ccc(-n2cc3cc(NC(=O)N4CCN(C5COC5)CC4)ccc3c2O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf990>,Cc1ccc(N2Cc3cc(NC(=O)N4CCN(C5COC5)CC4)ccc3C2=O)cc1,5,2,3.192820000000001,69.97000000000001,3,2.639,23,3,4,0.7666666666666667,0.1,0.1333333333333333,0.3478260869565217,0.0,406.200490692,30,5,2,3,3,2,3,0,0
