,ID,Database,SMILES_chiral,Counts,Rel_Sol_2mM,ROMol,SMILES,HBA,HBD,LOGP,TPSA,RB,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,Z2106590739,EnamineSolWat,Nc1cnn(COc2ccc(F)cc2Cl)c1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc250e0>,Nc1cnn(COc2ccc(F)cc2Cl)c1,4,1,2.2943,53.06999999999999,3,2.263,10,1,3,0.625,0.0625,0.1875,0.1,0.0,241.041817808,16,2,0,2,1,0,2,0,0
1,Z3227894590,EnamineSolWat,Cn1[nH]c(-c2cccc(C(F)(F)F)c2)cc1=N,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25150>,Cn1nc(-c2cccc(C(F)(F)F)c2)cc1N,2,2,2.51847,44.57,1,2.814,11,0,3,0.6470588235294118,0.0,0.1764705882352941,0.1818181818181818,0.0,241.08268198,17,2,0,2,1,0,2,0,0
2,Z2106590654,EnamineSolWat,Cc1cc(C(F)F)[nH]n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc251c0>,Cc1cc(C(F)F)n[nH]1,1,1,1.65572,28.68,1,3.374,5,0,2,0.5555555555555556,0.0,0.2222222222222222,0.4,0.0,132.049904632,9,1,0,1,1,0,1,0,0
3,Z2106591595,EnamineSolWat,O=C(O)Cn1cc(Cl)c(C(F)(F)F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25230>,O=C(O)Cn1cc(Cl)c(C(F)(F)F)n1,3,1,1.6399,55.12,2,2.607,6,2,2,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.0,227.991339708,14,1,0,1,1,0,1,0,0
4,Z2106592433,EnamineSolWat,Cc1cc(=N)[nH]n1Cc1ccccc1F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc252a0>,Cc1cc(N)nn1Cc1ccccc1F,2,2,1.7914899999999998,44.57,2,2.911,11,0,3,0.7333333333333333,0.0,0.2,0.1818181818181818,0.0,205.101525604,15,2,0,2,1,0,2,0,0
5,Z3232000466,EnamineSolWat,O=C1NCCc2ccc(OC(F)(F)F)cc21,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25310>,O=C1NCCc2ccc(OC(F)(F)F)cc21,2,1,1.8711,38.33,1,2.313,10,2,1,0.625,0.125,0.0625,0.3,0.0,231.050713156,16,2,1,1,1,1,1,0,0
6,Z1891775019,EnamineSolWat,Cc1[nH]c2[nH]cnc(=N)c2c1C,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25380>,Cc1[nH]c2ncnc(N)c2c1C,2,3,0.98731,68.32,0,3.587,8,0,4,0.6666666666666666,0.0,0.3333333333333333,0.25,0.0,162.09054632,12,2,0,2,2,0,2,0,0
7,Z3227502197,EnamineSolWat,CC(=O)N=c1cc[nH]c(N)c1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc253f0>,CC(=O)Nc1ccnc(N)c1,2,2,0.0440999999999999,71.24,0,3.625,7,1,3,0.6363636363636364,0.0909090909090909,0.2727272727272727,0.1428571428571428,0.0,151.074561908,11,1,0,1,1,0,1,0,0
8,Z3242011781,EnamineSolWat,Cc1ncc2c[nH]c(O)c2c1N,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25460>,Cc1ncc2c(c1N)C(=O)NC2,3,3,1.1591199999999997,74.92999999999999,0,3.345,8,1,3,0.6666666666666666,0.0833333333333333,0.25,0.125,0.0,163.074561908,12,2,0,2,2,0,2,0,0
9,Z1891775595,EnamineSolWat,[O-][S+]1CCNC(c2ccccc2)C1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc254d0>,O=S1CCNC(c2ccccc2)C1,2,1,1.0796,35.09,1,4.126,10,1,1,0.7692307692307693,0.0769230769230769,0.0769230769230769,0.4,0.1,195.071785036,13,2,1,1,1,1,1,0,0
10,Z2106588749,EnamineSolWat,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)O,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25540>,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)O,3,1,2.50932,55.120000000000005,2,2.964,8,2,2,0.5,0.125,0.125,0.5,0.125,256.022639836,16,1,0,1,1,0,1,0,0
11,Z432529688,EnamineSolWat,CS(=O)(=O)c1ccccn1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc255b0>,CS(=O)(=O)c1ccccn1,3,0,0.4851000000000001,47.03,1,2.0,6,2,1,0.6,0.2,0.1,0.1666666666666666,0.0,157.019749464,10,1,0,1,1,0,1,0,0
12,Z2412196486,EnamineSolWat,O=C(O)Cn1ccc2ccc(F)cc21,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25620>,O=C(O)Cn1ccc2ccc(F)cc21,2,1,1.865,42.23,2,2.016,10,2,1,0.7142857142857143,0.1428571428571428,0.0714285714285714,0.1,0.0,193.053906716,14,2,0,2,1,0,2,0,0
13,Z2106589024,EnamineSolWat,O=C(O)c1ccnn1CC(F)(F)F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25690>,O=C(O)c1ccnn1CC(F)(F)F,3,1,1.1436,55.12,2,2.552,6,2,2,0.4615384615384615,0.1538461538461538,0.1538461538461538,0.3333333333333333,0.0,194.03031206,13,1,0,1,1,0,1,0,0
14,Z3227907017,EnamineSolWat,NS(=O)(=O)Cc1ccccn1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25700>,NS(=O)(=O)Cc1ccccn1,3,1,-0.1298999999999999,73.05000000000001,2,2.152,6,2,2,0.5454545454545454,0.1818181818181818,0.1818181818181818,0.1666666666666666,0.0,172.030648496,11,1,0,1,1,0,1,0,0
15,Z2106603358,EnamineSolWat,OCc1ccn(CC(F)F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25770>,OCc1ccn(CC(F)F)n1,3,1,0.6405000000000001,38.05,3,2.866,6,1,2,0.5454545454545454,0.0909090909090909,0.1818181818181818,0.5,0.0,162.060469316,11,1,0,1,1,0,1,0,0
16,Z2106604905,EnamineSolWat,Cn1nc(CN)cc1C(F)(F)F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc257e0>,Cn1nc(CN)cc1C(F)(F)F,3,1,0.8976,43.84,1,2.746,6,0,3,0.5,0.0,0.25,0.5,0.0,179.067031916,12,1,0,1,1,0,1,0,0
17,Z1238477789,EnamineSolWat,O=C(O)c1cccc2[nH]ccc12,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25850>,O=C(O)c1cccc2[nH]ccc12,1,2,1.8661,53.09,1,1.835,9,2,1,0.75,0.1666666666666666,0.0833333333333333,0.0,0.0,161.047678464,12,2,0,2,1,0,2,0,0
18,Z2106603356,EnamineSolWat,OCc1ccn(CC(F)(F)F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc258c0>,OCc1ccn(CC(F)(F)F)n1,3,1,0.9377,38.05,2,2.726,6,1,2,0.5,0.0833333333333333,0.1666666666666666,0.5,0.0,180.051047504,12,1,0,1,1,0,1,0,0
19,Z2106610419,EnamineSolWat,OCc1ccnn1CCF,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25930>,OCc1ccnn1CCF,3,1,0.3449,38.05,3,3.012,6,1,2,0.6,0.1,0.2,0.5,0.0,144.069891128,10,1,0,1,1,0,1,0,0
20,Z2106609204,EnamineSolWat,O=C(O)Cc1ccn(C(F)F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc259a0>,O=C(O)Cc1ccn(C(F)F)n1,3,1,0.9053,55.12,3,2.665,6,2,2,0.5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,176.039733872,12,1,0,1,1,0,1,0,0
21,Z3900524904,EnamineSolWat,COc1ccc(C2C(CO)CCC(=O)N2C)cc1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25a10>,COc1ccc(C2C(CO)CCC(=O)N2C)cc1,3,1,1.597,49.77,3,2.946,14,3,1,0.7777777777777778,0.1666666666666666,0.0555555555555555,0.5,0.1428571428571428,249.136493468,18,2,1,1,1,1,1,0,0
22,Z2106603246,EnamineSolWat,Cc1nn(C(F)F)cc1N,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25a80>,Cc1nn(C(F)F)cc1N.Cl,3,1,1.16882,43.84,1,3.235,5,0,3,0.5,0.0,0.3,0.4,0.0,147.060803664,10,1,0,1,1,0,1,0,0
23,Z2106596517,EnamineSolWat,CC(C(=O)O)n1nc(C(F)(F)F)c2c1CCC2,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25af0>,CC(C(=O)O)n1nc(C(F)(F)F)c2c1CCC2,3,1,2.0362,55.12,2,3.139,10,2,2,0.5882352941176471,0.1176470588235294,0.1176470588235294,0.6,0.1,248.077262252,17,2,1,1,1,0,1,0,0
24,Z2106595960,EnamineSolWat,N#Cc1c[nH]n(-c2ccccc2F)c1=N,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25b60>,N#Cc1cnn(-c2ccccc2F)c1N,3,2,1.29565,68.36,1,2.838,10,0,4,0.6666666666666666,0.0,0.2666666666666666,0.0,0.0,202.065474444,15,2,0,2,1,0,2,0,0
25,Z2106597100,EnamineSolWat,Cc1cc(C(=O)O)nn1CC(F)(F)F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25bd0>,Cc1cc(C(=O)O)nn1CC(F)(F)F,3,1,1.45202,55.12,2,2.471,7,2,2,0.5,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.0,208.045962124,14,1,0,1,1,0,1,0,0
26,Z2106597080,EnamineSolWat,O=C(O)C1CCCN1CC(F)F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25c40>,O=C(O)C1CCCN1CC(F)F,2,1,0.8005,40.54,3,2.847,7,2,1,0.5833333333333334,0.1666666666666666,0.0833333333333333,0.8571428571428571,0.1428571428571428,179.075785032,12,1,1,0,1,1,0,0,0
27,Z3235016719,EnamineSolWat,O=C(O)c1cc2ccc(C(F)(F)F)nc2[nH]1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25cb0>,O=C(O)c1cc2ccc(C(F)(F)F)nc2[nH]1,2,2,2.2799,65.97999999999999,1,2.515,9,2,2,0.5625,0.125,0.125,0.1111111111111111,0.0,230.03031206,16,2,0,2,2,0,2,0,0
