,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,ROMol,SMILES,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,QHM-0001205,CRAFT,Nc1ccc2c(-c3ccccc3)[nH]nc2c1,,209.095297352,2,2,2.8121,54.7,1,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddf920>,Nc1ccc2c(-c3ccccc3)n[nH]c2c1,2.054,13,0,3,0.8125,0.0,0.1875,0.0,0.0,16,3,0,3,1,0,3,0,0
1,QHM-0001197,CRAFT,O=C1NC(=S)NC(=O)C1=Cc1c(Cl)cccc1Cl,,299.952703792,3,2,1.9077,58.2,1,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfca0>,O=C1NC(=S)NC(=O)C1=Cc1c(Cl)cccc1Cl,2.494,11,2,2,0.6111111111111112,0.1111111111111111,0.1111111111111111,0.0,0.0,18,2,1,1,1,1,1,0,0
2,QHM-0001196,CRAFT,O=C1NC(=S)NC(=O)C1=C/C=C/c1ccccc1,,258.04629856,3,2,1.1571000000000002,58.2,2,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfd10>,O=C1NC(=S)NC(=O)C1=C/C=C/c1ccccc1,2.47,13,2,2,0.7222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,18,2,1,1,1,1,1,0,0
3,QHM-0001195,CRAFT,CC(C)OC(=O)Cc1cccnc1,,179.094628656,3,0,1.5757,39.19,3,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfd80>,CC(C)OC(=O)Cc1cccnc1,1.884,10,2,1,0.7692307692307693,0.1538461538461538,0.0769230769230769,0.4,0.0,13,1,0,1,1,0,1,0,0
4,QHM-0001191,CRAFT,Nc1ccc2c(O)n(C3CC3)cc2c1,,188.094963004,3,2,2.264,51.18,1,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddff40>,Nc1ccc2c(c1)CN(C1CC1)C2=O,2.611,11,1,2,0.7857142857142857,0.0714285714285714,0.1428571428571428,0.2727272727272727,0.0,14,3,1,2,1,0,2,0,0
5,QHM-0001173,CRAFT,Nc1ccc2c(I)[nH]nc2c1,,258.960645192,2,2,1.7497,54.7,0,<rdkit.Chem.rdchem.Mol object at 0x7a142f280740>,Nc1ccc2c(I)n[nH]c2c1,2.738,7,0,3,0.6363636363636364,0.0,0.2727272727272727,0.0,0.0,11,2,0,2,1,0,2,0,0
6,QHM-0001155,CRAFT,CN1C(=O)C(=C/C=C/c2ccccc2)C(=O)N(C)C1=O,,270.100442308,3,0,1.6766,57.690000000000005,2,<rdkit.Chem.rdchem.Mol object at 0x7a142f280f20>,CN1C(=O)C(=C/C=C/c2ccccc2)C(=O)N(C)C1=O,2.367,15,3,2,0.75,0.15,0.1,0.1333333333333333,0.0,20,2,1,1,1,1,1,0,0
7,QHM-0001130,CRAFT,Nc1cccc(-c2cc(CO)ccc2F)c1,,217.090292224,2,2,2.5672000000000006,46.25,2,<rdkit.Chem.rdchem.Mol object at 0x7a142f281a10>,Nc1cccc(-c2cc(CO)ccc2F)c1,1.872,13,1,1,0.8125,0.0625,0.0625,0.0769230769230769,0.0,16,2,0,2,0,0,2,0,0
8,QHM-0001129,CRAFT,O=c1[nH]c(Cl)nc2ccc(Br)cc12,,257.919552528,2,1,2.3390000000000004,45.75,0,<rdkit.Chem.rdchem.Mol object at 0x7a142f281a80>,O=c1[nH]c(Cl)nc2ccc(Br)cc12,2.403,8,1,2,0.6153846153846154,0.0769230769230769,0.1538461538461538,0.0,0.0,13,2,0,2,1,0,2,0,0
9,QHM-0001113,CRAFT,Nc1ccc(-c2cc(CO)ccc2F)cc1,,217.090292224,2,2,2.5672000000000006,46.25,2,<rdkit.Chem.rdchem.Mol object at 0x7a142f282180>,Nc1ccc(-c2cc(CO)ccc2F)cc1,1.8,13,1,1,0.8125,0.0625,0.0625,0.0769230769230769,0.0,16,2,0,2,0,0,2,0,0
10,QHM-0001059,CRAFT,Nc1ccc(C#Cc2cccc(N)c2)cc1,,208.100048384,2,2,2.2508,52.04,0,<rdkit.Chem.rdchem.Mol object at 0x7a142f283920>,Nc1ccc(C#Cc2cccc(N)c2)cc1,2.106,14,0,2,0.875,0.0,0.125,0.0,0.0,16,2,0,2,0,0,2,0,0
11,QHM-0001050,CRAFT,O=c1[nH]c2ccccc2nc1Cl,,180.00904046,2,1,1.5765,45.75,0,<rdkit.Chem.rdchem.Mol object at 0x7a142f283d10>,O=c1[nH]c2ccccc2nc1Cl,2.066,8,1,2,0.6666666666666666,0.0833333333333333,0.1666666666666666,0.0,0.0,12,2,0,2,1,0,2,0,0
12,QHM-0001049,CRAFT,Clc1nc2ccccc2nc1Cl,,197.975153488,2,0,2.9366000000000003,25.78,0,<rdkit.Chem.rdchem.Mol object at 0x7a142f283d80>,Clc1nc2ccccc2nc1Cl,1.937,8,0,2,0.6666666666666666,0.0,0.1666666666666666,0.0,0.0,12,2,0,2,1,0,2,0,0
13,QHM-0001014,CRAFT,CC(=O)Nc1ccc(C#Cc2ccc3[nH]ncc3c2)cc1,,275.105862036,2,2,2.921100000000001,57.78,1,<rdkit.Chem.rdchem.Mol object at 0x7a142e598d60>,CC(=O)Nc1ccc(C#Cc2ccc3[nH]ncc3c2)cc1,2.238,17,1,3,0.8095238095238095,0.0476190476190476,0.1428571428571428,0.0588235294117647,0.0,21,3,0,3,1,0,3,0,0
14,QHM-0001013,CRAFT,CC(=O)Nc1ccc(C#Cc2ccc3[nH]cnc3c2)cc1,,275.105862036,2,2,2.921100000000001,57.78,1,<rdkit.Chem.rdchem.Mol object at 0x7a142e598dd0>,CC(=O)Nc1ccc(C#Cc2ccc3[nH]cnc3c2)cc1,2.311,17,1,3,0.8095238095238095,0.0476190476190476,0.1428571428571428,0.0588235294117647,0.0,21,3,0,3,1,0,3,0,0
15,QHM-0001006,CRAFT,Brc1cc2c[nH]nc2cn1,,196.958859228,2,1,1.7203999999999993,41.57,0,<rdkit.Chem.rdchem.Mol object at 0x7a142e5990e0>,Brc1cc2cn[nH]c2cn1,3.395,6,0,3,0.6,0.0,0.3,0.0,0.0,10,2,0,2,2,0,2,0,0
16,QHM-0000993,CRAFT,O=C1N=C(C=CCc2ccccc2)C(=O)N1,,214.07422756,2,1,1.4761,58.53,3,<rdkit.Chem.rdchem.Mol object at 0x7a142e599690>,O=C1NC(=O)/C(=C\C=C\c2ccccc2)N1,2.82,12,2,2,0.75,0.125,0.125,0.0833333333333333,0.0,16,2,1,1,1,1,1,0,0
17,QHM-0000991,CRAFT,CC(C)c1ccc(CC2=NC(=O)NC2=O)cc1,,230.105527688,2,1,2.0433000000000003,58.53,3,<rdkit.Chem.rdchem.Mol object at 0x7a142e599770>,CC(C)c1ccc(/C=C2/NC(=O)NC2=O)cc1,2.555,13,2,2,0.7647058823529411,0.1176470588235294,0.1176470588235294,0.3076923076923077,0.0,17,2,1,1,1,1,1,0,0
18,QHM-0000979,CRAFT,O=C(CCl)n1ncc2ccccc21,,194.024690524,3,0,1.9153,34.89,1,<rdkit.Chem.rdchem.Mol object at 0x7a142e599cb0>,O=C(CCl)n1ncc2ccccc21,2.416,9,1,2,0.6923076923076923,0.0769230769230769,0.1538461538461538,0.1111111111111111,0.0,13,2,0,2,1,0,2,0,0
19,QHM-0000974,CRAFT,O=C(CCl)N1CCOCC1,,163.04000624,2,0,0.084,29.540000000000003,1,<rdkit.Chem.rdchem.Mol object at 0x7a142e599ee0>,O=C(CCl)N1CCOCC1,2.076,6,2,1,0.6,0.2,0.1,0.8333333333333334,0.0,10,1,1,0,1,1,0,0,0
