,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,ROMol,SMILES,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,BB01-0005,ChemDiv,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,,209.095297352,2,2,2.8121,54.7,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f302c00>,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,1.764,13,0,3,0.8125,0.0,0.1875,0.0,0.0,16,3,0,3,1,0,3,0,0
1,BB01-0010,ChemDiv,Oc1cc(Br)c(Br)cc1O,,265.857803568,2,2,2.6228,40.46,0,<rdkit.Chem.rdchem.Mol object at 0x7a142f302f80>,Oc1cc(Br)c(Br)cc1O,2.387,6,2,0,0.6,0.2,0.0,0.0,0.0,10,1,0,1,0,0,1,0,0
2,BB01-0011,ChemDiv,CC(=O)c1cc2cc(Br)ccc2oc1=O,,265.95785618400004,3,0,2.7581000000000016,47.28,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f302ff0>,CC(=O)c1cc2cc(Br)ccc2oc1=O,2.077,11,3,0,0.7333333333333333,0.2,0.0,0.0909090909090909,0.0,15,2,0,2,1,0,2,0,0
3,BB01-0022,ChemDiv,Nc1ccc(CCc2nc3ccccc3[nH]2)cc1,,237.12659748,2,2,2.930300000000001,54.7,3,<rdkit.Chem.rdchem.Mol object at 0x7a142f303bc0>,Nc1ccc(CCc2nc3ccccc3[nH]2)cc1,1.873,15,0,3,0.8333333333333334,0.0,0.1666666666666666,0.1333333333333333,0.0,18,3,0,3,1,0,3,0,0
4,BB01-0024,ChemDiv,O=C(O)c1c2c(nc3ccccc13)CCC2,,213.078978592,2,1,2.4217000000000004,50.19,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f303df0>,O=C(O)c1c2c(nc3ccccc13)CCC2,1.936,13,2,1,0.8125,0.125,0.0625,0.2307692307692307,0.0,16,3,1,2,1,0,2,0,0
5,BB01-0025,ChemDiv,CC(=O)c1sc(C(C)(C)C)cc1N,,197.0874351,3,1,2.8304,43.09,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f303ed0>,CC(=O)c1sc(C(C)(C)C)cc1N,2.752,10,1,1,0.7692307692307693,0.0769230769230769,0.0769230769230769,0.5,0.0,13,1,0,1,1,0,1,0,0
6,BB01-0027,ChemDiv,C=CCc1cccc2cc(C(C)=O)c(=O)oc12,,228.078644244,3,0,2.724100000000001,47.28,3,<rdkit.Chem.rdchem.Mol object at 0x7a142f5c0200>,C=CCc1cccc2cc(C(C)=O)c(=O)oc12,2.374,14,3,0,0.8235294117647058,0.1764705882352941,0.0,0.1428571428571428,0.0,17,2,0,2,1,0,2,0,0
7,BB01-0032,ChemDiv,CCC(=O)N=c1cc(C(C)(C)C)o[nH]1,,196.121177752,2,1,1.7425,58.36,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f5c07b0>,CCC(=O)Nc1cc(C(C)(C)C)on1,3.756,10,2,2,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.6,0.0,14,1,0,1,1,0,1,0,0
8,BB01-0033,ChemDiv,O=C(O)C12CC3CCC(CC(C3)C1)C2,,194.130679816,1,1,2.677500000000001,37.3,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f5c0820>,O=C(O)C12CC3CCC(CC(C3)C1)C2,4.273,12,2,0,0.8571428571428571,0.1428571428571428,0.0,0.9166666666666666,0.1666666666666666,14,4,4,0,0,0,0,0,4
9,BB01-0036,ChemDiv,N=c1cc(-c2cccs2)[nH][nH]1,,165.036068224,2,3,1.5507699999999995,55.43,1,<rdkit.Chem.rdchem.Mol object at 0x7a142f5c0ac0>,Nc1cc(-c2cccs2)n[nH]1,3.448,7,0,3,0.6363636363636364,0.0,0.2727272727272727,0.0,0.0,11,2,0,2,2,0,2,0,0
10,BB01-0047,ChemDiv,Cc1c(CCN)c2cccc3c2n1CCC3,,214.146998576,2,1,2.397120000000001,30.95,2,<rdkit.Chem.rdchem.Mol object at 0x7a142f5c12a0>,Cc1c(CCN)c2cccc3c2n1CCC3,2.486,14,0,2,0.875,0.0,0.125,0.4285714285714285,0.0,16,3,1,2,2,1,2,0,0
