,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,Rel_Sol_2mM,ROMol,SMILES,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,Z3227894590,EnamineSolWat,Cn1[nH]c(-c2cccc(C(F)(F)F)c2)cc1=N,,241.08268198,2,2,2.51847,44.57,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25150>,Cn1nc(-c2cccc(C(F)(F)F)c2)cc1N,2.814,11,0,3,0.6470588235294118,0.0,0.1764705882352941,0.1818181818181818,0.0,17,2,0,2,1,0,2,0,0
1,Z2106590654,EnamineSolWat,Cc1cc(C(F)F)[nH]n1,,132.049904632,1,1,1.65572,28.68,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc251c0>,Cc1cc(C(F)F)n[nH]1,3.374,5,0,2,0.5555555555555556,0.0,0.2222222222222222,0.4,0.0,9,1,0,1,1,0,1,0,0
2,Z2106591595,EnamineSolWat,O=C(O)Cn1cc(Cl)c(C(F)(F)F)n1,,227.991339708,3,1,1.6399,55.12,2,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25230>,O=C(O)Cn1cc(Cl)c(C(F)(F)F)n1,2.607,6,2,2,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.0,14,1,0,1,1,0,1,0,0
3,Z2106592433,EnamineSolWat,Cc1cc(=N)[nH]n1Cc1ccccc1F,,205.101525604,2,2,1.7914899999999998,44.57,2,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc252a0>,Cc1cc(N)nn1Cc1ccccc1F,2.911,11,0,3,0.7333333333333333,0.0,0.2,0.1818181818181818,0.0,15,2,0,2,1,0,2,0,0
4,Z3232000466,EnamineSolWat,O=C1NCCc2ccc(OC(F)(F)F)cc21,,231.050713156,2,1,1.8711,38.33,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25310>,O=C1NCCc2ccc(OC(F)(F)F)cc21,2.313,10,2,1,0.625,0.125,0.0625,0.3,0.0,16,2,1,1,1,1,1,0,0
5,Z1891775595,EnamineSolWat,[O-][S+]1CCNC(c2ccccc2)C1,,195.071785036,2,1,1.0796,35.09,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc254d0>,O=S1CCNC(c2ccccc2)C1,4.126,10,1,1,0.7692307692307693,0.0769230769230769,0.0769230769230769,0.4,0.1,13,2,1,1,1,1,1,0,0
6,Z2106588749,EnamineSolWat,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)O,,256.022639836,3,1,2.50932,55.120000000000005,2,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25540>,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)O,2.964,8,2,2,0.5,0.125,0.125,0.5,0.125,16,1,0,1,1,0,1,0,0
7,Z432529688,EnamineSolWat,CS(=O)(=O)c1ccccn1,,157.019749464,3,0,0.4851000000000001,47.03,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc255b0>,CS(=O)(=O)c1ccccn1,2.0,6,2,1,0.6,0.2,0.1,0.1666666666666666,0.0,10,1,0,1,1,0,1,0,0
8,Z2412196486,EnamineSolWat,O=C(O)Cn1ccc2ccc(F)cc21,,193.053906716,2,1,1.865,42.23,2,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25620>,O=C(O)Cn1ccc2ccc(F)cc21,2.016,10,2,1,0.7142857142857143,0.1428571428571428,0.0714285714285714,0.1,0.0,14,2,0,2,1,0,2,0,0
9,Z2106589024,EnamineSolWat,O=C(O)c1ccnn1CC(F)(F)F,,194.03031206,3,1,1.1436,55.12,2,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25690>,O=C(O)c1ccnn1CC(F)(F)F,2.552,6,2,2,0.4615384615384615,0.1538461538461538,0.1538461538461538,0.3333333333333333,0.0,13,1,0,1,1,0,1,0,0
10,Z2106603358,EnamineSolWat,OCc1ccn(CC(F)F)n1,,162.060469316,3,1,0.6405000000000001,38.05,3,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25770>,OCc1ccn(CC(F)F)n1,2.866,6,1,2,0.5454545454545454,0.0909090909090909,0.1818181818181818,0.5,0.0,11,1,0,1,1,0,1,0,0
11,Z2106604905,EnamineSolWat,Cn1nc(CN)cc1C(F)(F)F,,179.067031916,3,1,0.8976,43.84,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc257e0>,Cn1nc(CN)cc1C(F)(F)F,2.746,6,0,3,0.5,0.0,0.25,0.5,0.0,12,1,0,1,1,0,1,0,0
12,Z1238477789,EnamineSolWat,O=C(O)c1cccc2[nH]ccc12,,161.047678464,1,2,1.8661,53.09,1,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25850>,O=C(O)c1cccc2[nH]ccc12,1.835,9,2,1,0.75,0.1666666666666666,0.0833333333333333,0.0,0.0,12,2,0,2,1,0,2,0,0
