,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,LANaPDB_fragments_1,LANAPDB,CC=O,3450.0,44.026214748,1,0,0.2052,17.07,0,3.041,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.0,3,0,0,0,0,0,0,0,0
1,LANaPDB_fragments_2,LANAPDB,O,937.0,18.010564684,0,0,-0.8247,31.5,0,5.868,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
2,LANaPDB_fragments_3,LANAPDB,CO,839.0,32.026214748,1,1,-0.3915,20.23,0,2.701,1,1,0,0.5,0.5,0.0,1.0,0.0,2,0,0,0,0,0,0,0,0
3,LANaPDB_fragments_4,LANAPDB,CCC,588.0,44.062600256,0,0,1.4163,0.0,0,1.755,3,0,0,1.0,0.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,0
4,LANaPDB_fragments_5,LANAPDB,CC=C(C)C=O,422.0,84.057514876,1,0,1.1515,17.07,1,3.353,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.4,0.0,6,0,0,0,0,0,0,0,0
5,LANaPDB_fragments_7,LANAPDB,O=Cc1ccccc1,264.0,106.041864812,1,0,1.4991,17.07,1,1.439,7,1,0,0.875,0.125,0.0,0.0,0.0,8,1,0,1,0,0,1,0,0
6,LANaPDB_fragments_8,LANAPDB,Oc1ccccc1,234.0,94.041864812,1,1,1.3922,20.23,0,1.177,6,1,0,0.8571428571428571,0.1428571428571428,0.0,0.0,0.0,7,1,0,1,0,0,1,0,0
7,LANaPDB_fragments_9,LANAPDB,Oc1ccccc1O,202.0,110.036779432,2,2,1.0978,40.46,0,1.503,6,2,0,0.75,0.25,0.0,0.0,0.0,8,1,0,1,0,0,1,0,0
8,LANaPDB_fragments_10,LANAPDB,CC(C)C=O,193.0,72.057514876,1,0,0.8412999999999999,17.07,1,2.414,4,1,0,0.8,0.2,0.0,0.75,0.0,5,0,0,0,0,0,0,0,0
9,LANaPDB_fragments_11,LANAPDB,CCC(C)C=O,169.0,86.07316494,1,0,1.2314,17.07,2,3.325,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.8,0.2,6,0,0,0,0,0,0,0,0
10,LANaPDB_fragments_12,LANAPDB,Cc1ccccc1,167.0,92.062600256,0,0,1.99502,0.0,0,1.0,7,0,0,1.0,0.0,0.0,0.1428571428571428,0.0,7,1,0,1,0,0,1,0,0
11,LANaPDB_fragments_14,LANAPDB,CCO,157.0,46.041864812,1,1,-0.0014,20.23,0,1.98,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,3,0,0,0,0,0,0,0,0
12,LANaPDB_fragments_15,LANAPDB,c1ccccc1,149.0,78.046950192,0,0,1.6866,0.0,0,1.0,6,0,0,1.0,0.0,0.0,0.0,0.0,6,1,0,1,0,0,1,0,0
13,LANaPDB_fragments_16,LANAPDB,C=C(C)C=O,147.0,70.041864812,1,0,0.7614,17.07,1,3.108,4,1,0,0.8,0.2,0.0,0.25,0.0,5,0,0,0,0,0,0,0,0
14,LANaPDB_fragments_17,LANAPDB,CCCCC,146.0,72.093900384,0,0,2.1965000000000003,0.0,2,1.7,5,0,0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0
15,LANaPDB_fragments_18,LANAPDB,COc1ccccc1O,139.0,124.052429496,2,1,1.4008,29.46,1,1.319,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.1428571428571428,0.0,9,1,0,1,0,0,1,0,0
16,LANaPDB_fragments_21,LANAPDB,COc1ccccc1,97.0,108.057514876,1,0,1.6952,9.23,1,1.0,7,1,0,0.875,0.125,0.0,0.1428571428571428,0.0,8,1,0,1,0,0,1,0,0
17,LANaPDB_fragments_22,LANAPDB,CC(C)CC=O,82.0,86.07316494,1,0,1.2314,17.07,2,2.76,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.8,0.0,6,0,0,0,0,0,0,0,0
18,LANaPDB_fragments_24,LANAPDB,C=O,78.0,30.010564684,1,0,-0.1849,17.07,0,4.044,1,1,0,0.5,0.5,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0
19,LANaPDB_fragments_26,LANAPDB,O=C/C=C/c1ccccc1,76.0,132.057514876,1,0,1.8987,17.07,2,1.933,9,1,0,0.9,0.1,0.0,0.0,0.0,10,1,0,1,0,0,1,0,0
20,LANaPDB_fragments_27,LANAPDB,Cc1ccc(O)c(O)c1,76.0,124.052429496,2,2,1.4062199999999996,40.46,0,1.653,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.1428571428571428,0.0,9,1,0,1,0,0,1,0,0
21,LANaPDB_fragments_28,LANAPDB,C=CCC,75.0,56.062600256,0,0,1.5824,0.0,1,2.72,4,0,0,1.0,0.0,0.0,0.5,0.0,4,0,0,0,0,0,0,0,0
22,LANaPDB_fragments_29,LANAPDB,CCCC=O,66.0,72.057514876,1,0,0.9854,17.07,2,2.735,4,1,0,0.8,0.2,0.0,0.75,0.0,5,0,0,0,0,0,0,0,0
23,LANaPDB_fragments_30,LANAPDB,CC=C(C)C,62.0,70.07825032,0,0,1.9725,0.0,0,2.437,5,0,0,1.0,0.0,0.0,0.6,0.0,5,0,0,0,0,0,0,0,0
24,LANaPDB_fragments_31,LANAPDB,Cc1ccc(O)cc1,61.0,108.057514876,1,1,1.7006199999999998,20.23,0,1.258,7,1,0,0.875,0.125,0.0,0.1428571428571428,0.0,8,1,0,1,0,0,1,0,0
25,LANaPDB_fragments_32,LANAPDB,CCC=O,61.0,58.041864812,1,0,0.5952999999999999,17.07,1,2.626,3,1,0,0.75,0.25,0.0,0.6666666666666666,0.0,4,0,0,0,0,0,0,0,0
26,LANaPDB_fragments_33,LANAPDB,O=Cc1cccnc1,60.0,107.03711378,2,0,0.8940999999999999,29.96,1,2.027,6,1,1,0.75,0.125,0.125,0.0,0.0,8,1,0,1,1,0,1,0,0
27,LANaPDB_fragments_34,LANAPDB,O=c1ccoc2cccc(O)c12,60.0,162.031694052,3,1,1.4986,50.44,0,2.268,9,3,0,0.75,0.25,0.0,0.0,0.0,12,2,0,2,1,0,2,0,0
28,LANaPDB_fragments_35,LANAPDB,CC(=O)O,60.0,60.021129368,1,1,0.0908999999999999,37.3,0,1.515,2,2,0,0.5,0.5,0.0,0.5,0.0,4,0,0,0,0,0,0,0,0
29,LANaPDB_fragments_37,LANAPDB,CC=C(C=O)CO,56.0,100.052429496,2,1,0.1239,37.3,2,3.669,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.4,0.0,7,0,0,0,0,0,0,0,0
30,LANaPDB_fragments_38,LANAPDB,COC(C)=O,56.0,74.036779432,2,0,0.1793,26.3,0,1.736,3,2,0,0.6,0.4,0.0,0.6666666666666666,0.0,5,0,0,0,0,0,0,0,0
31,LANaPDB_fragments_42,LANAPDB,O=CC=Cc1ccc(O)c(O)c1,49.0,164.047344116,3,2,1.3098999999999998,57.53,2,2.408,9,3,0,0.75,0.25,0.0,0.0,0.0,12,1,0,1,0,0,1,0,0
32,LANaPDB_fragments_43,LANAPDB,CCCC,44.0,58.07825032,0,0,1.8064,0.0,1,1.606,4,0,0,1.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0
33,LANaPDB_fragments_44,LANAPDB,COc1ccccc1OC,44.0,138.06807956,2,0,1.7038,18.46,2,1.07,8,2,0,0.8,0.2,0.0,0.25,0.0,10,1,0,1,0,0,1,0,0
34,LANaPDB_fragments_47,LANAPDB,CC(C)=CC=O,41.0,84.057514876,1,0,1.1515,17.07,1,3.131,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.4,0.0,6,0,0,0,0,0,0,0,0
35,LANaPDB_fragments_48,LANAPDB,Cc1coc(O)c1,38.0,98.036779432,2,1,1.2936199999999998,33.370000000000005,0,3.381,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.2,0.0,7,1,0,1,1,0,1,0,0
36,LANaPDB_fragments_49,LANAPDB,Cc1ccc2c(c1)OCO2,37.0,136.052429496,2,0,1.72372,18.46,0,1.682,8,2,0,0.8,0.2,0.0,0.25,0.0,10,2,1,1,1,1,1,0,0
37,LANaPDB_fragments_51,LANAPDB,C[C@@H]1O[C@]1(C)C=O,36.0,100.052429496,2,0,0.3627,29.6,1,4.227,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.8,0.4,7,1,1,0,1,1,0,0,0
38,LANaPDB_fragments_52,LANAPDB,CCOC(C)=O,36.0,88.052429496,2,0,0.5694,26.3,1,1.756,4,2,0,0.6666666666666666,0.3333333333333333,0.0,0.75,0.0,6,0,0,0,0,0,0,0,0
39,LANaPDB_fragments_53,LANAPDB,O=CC=Cc1ccc(O)cc1,35.0,148.052429496,2,1,1.6042999999999998,37.3,2,2.167,9,2,0,0.8181818181818182,0.1818181818181818,0.0,0.0,0.0,11,1,0,1,0,0,1,0,0
40,LANaPDB_fragments_54,LANAPDB,CC(C)(C)O,35.0,74.07316494,1,1,0.7771999999999999,20.23,0,2.014,4,1,0,0.8,0.2,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0
41,LANaPDB_fragments_61,LANAPDB,COc1cc(C)ccc1O,30.0,138.06807956,2,1,1.70922,29.46,1,1.464,8,2,0,0.8,0.2,0.0,0.25,0.0,10,1,0,1,0,0,1,0,0
42,LANaPDB_fragments_63,LANAPDB,C[C@H]1OCC[C@@H](O)[C@@H]1O,30.0,132.078644244,3,2,-0.483,49.69,0,3.687,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,9,1,1,0,1,1,0,0,0
43,LANaPDB_fragments_65,LANAPDB,CC(C)C,29.0,58.07825032,0,0,1.6623,0.0,0,1.841,4,0,0,1.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0
44,LANaPDB_fragments_69,LANAPDB,C[C@@H]1C[C@H](O)[C@@H](O)CO1,28.0,132.078644244,3,2,-0.4830000000000001,49.69,0,3.697,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,9,1,1,0,1,1,0,0,0
45,LANaPDB_fragments_74,LANAPDB,CCCCCC,27.0,86.109550448,0,0,2.5866000000000007,0.0,3,1.209,6,0,0,1.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0,0,0
46,LANaPDB_fragments_76,LANAPDB,C[C@H]1OC[C@H](O)C[C@@H]1O,26.0,132.078644244,3,2,-0.483,49.69,0,4.07,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,9,1,1,0,1,1,0,0,0
47,LANaPDB_fragments_77,LANAPDB,OC[C@@H]1CC[C@@H](O)CO1,26.0,132.078644244,3,2,-0.4814,49.69,1,3.538,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,9,1,1,0,1,1,0,0,0
48,LANaPDB_fragments_79,LANAPDB,COc1cccc(OC)c1OC,25.0,168.078644244,3,0,1.7124,27.69,3,1.364,9,3,0,0.75,0.25,0.0,0.3333333333333333,0.0,12,1,0,1,0,0,1,0,0
