,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,ROMol,SMILES,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,F1905-3672,LifeChemicals,Cc1nccc(N2CCC(C(F)(F)F)CC2)n1,,245.113982108,3,0,2.563720000000001,29.020000000000003,1,<rdkit.Chem.rdchem.Mol object at 0x7a14133e4510>,Cc1nccc(N2CCC(C(F)(F)F)CC2)n1,2.42,11,0,3,0.6470588235294118,0.0,0.1764705882352941,0.6363636363636364,0.0,17,2,1,1,2,1,1,0,0
1,F6540-6607,LifeChemicals,Cc1noc(C)c1CN1CCC(=C2CC2)CC1,,232.15756326,3,0,2.977640000000002,29.270000000000003,2,<rdkit.Chem.rdchem.Mol object at 0x7a14133e4820>,Cc1noc(C)c1CN1CCC(=C2CC2)CC1,2.627,14,1,2,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.6428571428571429,0.0,17,3,2,1,2,1,1,0,0
2,F6544-0097,LifeChemicals,COC1CCN(Cc2cccc(C)n2)CC1,,220.15756326,3,0,2.00082,25.36,3,<rdkit.Chem.rdchem.Mol object at 0x7a14133e4eb0>,COC1CCN(Cc2cccc(C)n2)CC1,2.04,13,1,2,0.8125,0.0625,0.125,0.6153846153846154,0.0,16,2,1,1,2,1,1,0,0
3,F6541-0193,LifeChemicals,OC1CC2CCC(C1)N2Cc1ccccn1,,218.141913196,3,1,1.5693,36.36,2,<rdkit.Chem.rdchem.Mol object at 0x7a14133e4f90>,OC1CC2CCC(C1)N2Cc1ccccn1,3.703,13,1,2,0.8125,0.0625,0.125,0.6153846153846154,0.1538461538461538,16,3,2,1,3,2,1,0,2
4,F6541-6011,LifeChemicals,C=C1CC2CCC(C1)N2Cc1c(C)noc1C,,232.15756326,3,0,2.9744400000000013,29.270000000000003,2,<rdkit.Chem.rdchem.Mol object at 0x7a14133e5310>,C=C1CC2CCC(C1)N2Cc1c(C)noc1C,4.317,14,1,2,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.6428571428571429,0.1428571428571428,17,3,2,1,3,2,1,0,2
5,F6438-7093,LifeChemicals,OC1CCCCC1n1cc(Cl)cn1,,200.071640716,3,1,2.0125,38.05,1,<rdkit.Chem.rdchem.Mol object at 0x7a14133e5850>,OC1CCCCC1n1cc(Cl)cn1,3.288,9,1,2,0.6923076923076923,0.0769230769230769,0.1538461538461538,0.6666666666666666,0.2222222222222222,13,2,1,1,1,0,1,0,0
6,F6438-7101,LifeChemicals,OC1(Cn2cc(Cl)cn2)CCCC1,,200.071640716,3,1,1.8416,38.05,2,<rdkit.Chem.rdchem.Mol object at 0x7a14133e58c0>,OC1(Cn2cc(Cl)cn2)CCCC1,2.724,9,1,2,0.6923076923076923,0.0769230769230769,0.1538461538461538,0.6666666666666666,0.0,13,2,1,1,1,0,1,0,0
7,F6616-1847,LifeChemicals,Cc1nc(=NC2CCOCC2)c2c([nH]1)CCC2,,233.152812228,3,1,1.28652,50.27,1,<rdkit.Chem.rdchem.Mol object at 0x7a14133e6340>,Cc1nc2c(c(NC3CCOCC3)n1)CCC2,3.288,13,1,3,0.7647058823529411,0.0588235294117647,0.1764705882352941,0.6923076923076923,0.0,17,3,2,1,2,1,1,0,0
8,F6672-2418,LifeChemicals,c1nc(CN2C3CCC2CC(=C2CC2)C3)co1,,230.141913196,3,0,2.8918000000000017,29.270000000000003,2,<rdkit.Chem.rdchem.Mol object at 0x7a14133e6570>,c1nc(CN2C3CCC2CC(=C2CC2)C3)co1,4.738,14,1,2,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.6428571428571429,0.1428571428571428,17,4,3,1,3,2,1,0,2
9,F6808-8199,LifeChemicals,Cc1cc(Br)cnc1N1C2CCC1CC(O)C2,,296.052425264,3,1,2.6446200000000006,36.36,1,<rdkit.Chem.rdchem.Mol object at 0x7a14133e6f10>,Cc1cc(Br)cnc1N1C2CCC1CC(O)C2,4.011,13,1,2,0.7647058823529411,0.0588235294117647,0.1176470588235294,0.6153846153846154,0.1538461538461538,17,3,2,1,3,2,1,0,2
