,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,ROMol,SMILES,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
0,AW00585,Maybridge,Cc1cccc(C)c1NC(=O)C(C)N1CCCC1,,246.173213324,2,1,2.7262400000000007,32.34,3,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9eab0>,Cc1cccc(C)c1NC(=O)[C@H](C)N1CCCC1,2.158,15,1,2,0.8333333333333334,0.0555555555555555,0.1111111111111111,0.5333333333333333,0.0666666666666666,18,2,1,1,1,1,1,0,0
1,BTB03853,Maybridge,NC(=O)c1ccccc1N1CCCCC1,,204.126263132,2,1,1.7758,46.330000000000005,2,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9ed50>,NC(=O)c1ccccc1N1CCCCC1,1.641,12,1,2,0.8,0.0666666666666666,0.1333333333333333,0.4166666666666667,0.0,15,2,1,1,1,1,1,0,0
2,BTB02003,Maybridge,CCOC(=O)c1c[nH]c2c(F)cccc2c1=O,,235.0644714,3,1,1.8439,59.16,2,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9f060>,CCOC(=O)c1cnc2c(F)cccc2c1O,2.091,12,3,1,0.7058823529411765,0.1764705882352941,0.0588235294117647,0.1666666666666666,0.0,17,2,0,2,1,0,2,0,0
3,RJC00488,Maybridge,NC[C@@H](c1ccccc1)c1ccc2c(c1)OCCO2,,255.125928784,3,1,2.548400000000001,44.48,3,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9f0d0>,Cl.NC[C@@H](c1ccccc1)c1ccc2c(c1)OCCO2,2.447,16,2,1,0.8421052631578947,0.1052631578947368,0.0526315789473684,0.25,0.0625,19,3,1,2,1,1,2,0,0
4,RH00387,Maybridge,COc1ccc2[nH]c(=S)[nH]c2c1,,180.035733876,2,2,2.23409,40.81,1,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9f680>,COc1ccc2[nH]c(S)nc2c1,2.228,8,1,2,0.6666666666666666,0.0833333333333333,0.1666666666666666,0.125,0.0,12,2,0,2,1,0,2,0,0
5,BTB07041,Maybridge,Cn1[nH]c(C(C)(C)C)cc1=O,,154.110613068,2,1,1.0109,37.79,0,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9fa00>,CN1N=C(C(C)(C)C)CC1=O,2.92,8,1,2,0.7272727272727273,0.0909090909090909,0.1818181818181818,0.625,0.0,11,1,0,1,1,0,1,0,0
6,BTB02004,Maybridge,CCOC(=O)c1c[nH]c2c(C)cc(Cl)cc2c1=O,,265.050570924,3,1,2.666620000000001,59.16,2,<rdkit.Chem.rdchem.Mol object at 0x7a1412a9ff40>,CCOC(=O)c1c[nH]c2c(C)cc(Cl)cc2c1=O,2.205,13,3,1,0.7222222222222222,0.1666666666666666,0.0555555555555555,0.2307692307692307,0.0,18,2,0,2,1,0,2,0,0
7,BTB07037,Maybridge,NC(=O)c1ccccc1,,121.052763844,1,1,0.7855000000000001,43.09,1,<rdkit.Chem.rdchem.Mol object at 0x7a141d31c430>,NC(=O)c1ccccc1,1.159,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,9,1,0,1,0,0,1,0,0
8,BTB07036,Maybridge,NC(=O)c1ccc(Cl)cc1,,155.013791492,1,1,1.4389,43.09,1,<rdkit.Chem.rdchem.Mol object at 0x7a141d31c510>,NC(=O)c1ccc(Cl)cc1,1.294,7,1,1,0.7,0.1,0.1,0.0,0.0,10,1,0,1,0,0,1,0,0
9,BTB07038,Maybridge,CC(C)(C)c1cc(=O)[nH][nH]1,,140.094963004,1,2,1.0005,48.65,0,<rdkit.Chem.rdchem.Mol object at 0x7a141d31c580>,CC(C)(C)C1=NNC(=O)C1,3.246,7,1,2,0.7,0.1,0.2,0.5714285714285714,0.0,10,1,0,1,1,0,1,0,0
